id,object,created,owned_by,providers,architecture.input_modalities,architecture.output_modalities
Qwen/Qwen3-Coder-30B-A3B-Instruct,model,1753945495,Qwen,"[{'provider': 'scaleway', 'status': 'live', 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'ovhcloud', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 0.07, 'output': 0.26}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}]",['text'],['text']
deepseek-ai/DeepSeek-V3.2,model,1764556489,deepseek-ai,"[{'provider': 'novita', 'status': 'live', 'context_length': 163840, 'pricing': {'input': 0.269, 'output': 0.4}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'fireworks-ai', 'status': 'live', 'context_length': 163840, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}]",['text'],['text']
Qwen/Qwen3-4B-Instruct-2507,model,1754391483,Qwen,"[{'provider': 'nscale', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 0.01, 'output': 0.03}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}]",['text'],['text']
google/gemma-3-27b-it,model,1740856219,google,"[{'provider': 'featherless-ai', 'status': 'live', 'is_model_author': False}, {'provider': 'scaleway', 'status': 'live', 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}]","['text', 'image']",['text']
deepseek-ai/DeepSeek-R1,model,1737344767,deepseek-ai,"[{'provider': 'novita', 'status': 'live', 'context_length': 64000, 'pricing': {'input': 0.7, 'output': 2.5}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'sambanova', 'status': 'live', 'supports_tools': False, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'hyperbolic', 'status': 'live', 'context_length': 163840, 'pricing': {'input': 2, 'output': 2}, 'supports_tools': False, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'together', 'status': 'live', 'context_length': 163840, 'pricing': {'input': 3, 'output': 7}, 'supports_tools': False, 'supports_structured_output': True, 'is_model_author': False}]",['text'],['text']
Qwen/Qwen3-8B,model,1745725341,Qwen,"[{'provider': 'nscale', 'status': 'live', 'context_length': 40960, 'pricing': {'input': 0.07, 'output': 0.18}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'featherless-ai', 'status': 'live', 'is_model_author': False}]",['text'],['text']
Qwen/Qwen2.5-7B-Instruct,model,1726487740,Qwen,"[{'provider': 'together', 'status': 'live', 'context_length': 32768, 'pricing': {'input': 0.3, 'output': 0.3}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'featherless-ai', 'status': 'live', 'is_model_author': False}]",['text'],['text']
meta-llama/Llama-3.2-3B-Instruct,model,1726672760,meta-llama,"[{'provider': 'hyperbolic', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.1, 'output': 0.1}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'together', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.060000000000000005, 'output': 0.060000000000000005}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}]",['text'],['text']
Qwen/Qwen3-Next-80B-A3B-Instruct,model,1757432456,Qwen,"[{'provider': 'novita', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.15, 'output': 1.5}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'hyperbolic', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 0.3, 'output': 0.3}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'together', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 0.15, 'output': 1.5}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}]",['text'],['text']
moonshotai/Kimi-K2-Thinking,model,1762244731,moonshotai,"[{'provider': 'novita', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 0.6, 'output': 2.5}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'together', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 1.2, 'output': 4}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'featherless-ai', 'status': 'live', 'is_model_author': False}]",['text'],['text']
meta-llama/Llama-3.2-1B-Instruct,model,1726672367,meta-llama,"[{'provider': 'novita', 'status': 'live', 'context_length': 131000, 'supports_tools': False, 'supports_structured_output': False, 'is_model_author': False}]",['text'],['text']
XiaomiMiMo/MiMo-V2-Flash,model,1765874822,XiaomiMiMo,"[{'provider': 'novita', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 0.1, 'output': 0.3}, 'supports_tools': False, 'supports_structured_output': True, 'is_model_author': False}]",['text'],['text']
Qwen/Qwen2.5-VL-7B-Instruct,model,1737883597,Qwen,"[{'provider': 'hyperbolic', 'status': 'live', 'context_length': 32768, 'pricing': {'input': 0.2, 'output': 0.2}, 'supports_tools': False, 'supports_structured_output': False, 'is_model_author': False}]","['text', 'image']",['text']
Qwen/Qwen2.5-Coder-7B-Instruct,model,1726580329,Qwen,"[{'provider': 'nscale', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.01, 'output': 0.03}, 'supports_tools': False, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'featherless-ai', 'status': 'live', 'is_model_author': False}]",['text'],['text']
Qwen/Qwen3-32B,model,1745725979,Qwen,"[{'provider': 'groq', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.29, 'output': 0.59}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'novita', 'status': 'live', 'context_length': 40960, 'pricing': {'input': 0.1, 'output': 0.45}, 'supports_tools': False, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'cerebras', 'status': 'live', 'pricing': {'input': 0.4, 'output': 0.8}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'sambanova', 'status': 'live', 'context_length': 32768, 'pricing': {'input': 0.4, 'output': 0.8}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'nscale', 'status': 'live', 'context_length': 40960, 'pricing': {'input': 0.08, 'output': 0.25}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'featherless-ai', 'status': 'live', 'is_model_author': False}, {'provider': 'ovhcloud', 'status': 'live', 'context_length': 32768, 'pricing': {'input': 0.09, 'output': 0.25}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}]",['text'],['text']
zai-org/GLM-4.6V-Flash,model,1765089004,zai-org,"[{'provider': 'novita', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.3, 'output': 0.9}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'zai-org', 'status': 'live', 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': True}]","['text', 'image']",['text']
Qwen/Qwen2.5-Coder-32B-Instruct,model,1730879390,Qwen,"[{'provider': 'nscale', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.06, 'output': 0.2}, 'supports_tools': False, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'hyperbolic', 'status': 'live', 'context_length': 32768, 'pricing': {'input': 0.2, 'output': 0.2}, 'supports_tools': False, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'featherless-ai', 'status': 'live', 'is_model_author': False}, {'provider': 'scaleway', 'status': 'live', 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}]",['text'],['text']
Qwen/Qwen3-4B-Thinking-2507,model,1754391747,Qwen,"[{'provider': 'nscale', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 0.01, 'output': 0.03}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}]",['text'],['text']
HuggingFaceTB/SmolLM3-3B,model,1751969505,HuggingFaceTB,"[{'provider': 'hf-inference', 'status': 'live', 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}]",['text'],['text']
Qwen/Qwen3-235B-A22B-Instruct-2507,model,1753080416,Qwen,"[{'provider': 'novita', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.09, 'output': 0.58}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'nscale', 'status': 'live', 'context_length': 32768, 'pricing': {'input': 0.2, 'output': 0.6}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'hyperbolic', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 2, 'output': 2}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'together', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 0.2, 'output': 0.6}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'fireworks-ai', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 0.22, 'output': 0.88}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'scaleway', 'status': 'live', 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}]",['text'],['text']
MiniMaxAI/MiniMax-M2,model,1761140710,MiniMaxAI,"[{'provider': 'novita', 'status': 'live', 'context_length': 204800, 'pricing': {'input': 0.3, 'output': 1.2}, 'supports_tools': False, 'supports_structured_output': False, 'is_model_author': False}]",['text'],['text']
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,model,1737364182,deepseek-ai,"[{'provider': 'nscale', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.05, 'output': 0.05}, 'supports_tools': False, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'featherless-ai', 'status': 'live', 'is_model_author': False}]",['text'],['text']
Qwen/Qwen3-Coder-480B-A35B-Instruct,model,1753195958,Qwen,"[{'provider': 'novita', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 0.3, 'output': 1.3}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'cerebras', 'status': 'live', 'is_model_author': False}, {'provider': 'hyperbolic', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 2, 'output': 2}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'together', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 2, 'output': 2}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'fireworks-ai', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 0.45, 'output': 1.8}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}]",['text'],['text']
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,model,1737364740,deepseek-ai,"[{'provider': 'nscale', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.3, 'output': 0.3}, 'supports_tools': False, 'supports_structured_output': True, 'is_model_author': False}]",['text'],['text']
moonshotai/Kimi-K2-Instruct,model,1752195312,moonshotai,"[{'provider': 'novita', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.57, 'output': 2.3}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'together', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 1, 'output': 3}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'featherless-ai', 'status': 'live', 'is_model_author': False}]",['text'],['text']
allenai/Molmo2-8B,model,1765753152,allenai,"[{'provider': 'publicai', 'status': 'live', 'supports_tools': False, 'supports_structured_output': True, 'is_model_author': False}]","['text', 'image']",['text']
meta-llama/Llama-3.3-70B-Instruct,model,1732637327,meta-llama,"[{'provider': 'groq', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.59, 'output': 0.79}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'novita', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.135, 'output': 0.4}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'cerebras', 'status': 'live', 'pricing': {'input': 0.85, 'output': 1.2}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'sambanova', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.6, 'output': 1.2}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'nscale', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.4, 'output': 0.4}, 'supports_tools': False, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'hyperbolic', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.4, 'output': 0.4}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'together', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.88, 'output': 0.88}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'fireworks-ai', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.9, 'output': 0.9}, 'supports_tools': False, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'scaleway', 'status': 'live', 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'ovhcloud', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.74, 'output': 0.74}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}]",['text'],['text']
meta-llama/Meta-Llama-3-8B-Instruct,model,1713346512,meta-llama,"[{'provider': 'novita', 'status': 'live', 'context_length': 8192, 'pricing': {'input': 0.04, 'output': 0.04}, 'supports_tools': False, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'featherless-ai', 'status': 'live', 'is_model_author': False}]",['text'],['text']
Qwen/Qwen3-Next-80B-A3B-Thinking,model,1757432731,Qwen,"[{'provider': 'novita', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.15, 'output': 1.5}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'hyperbolic', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 0.3, 'output': 0.3}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'together', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 0.15, 'output': 1.5}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}]",['text'],['text']
deepseek-ai/DeepSeek-R1-0528,model,1748425602,deepseek-ai,"[{'provider': 'novita', 'status': 'live', 'context_length': 163840, 'pricing': {'input': 0.7, 'output': 2.5}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'sambanova', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 5, 'output': 7}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'hyperbolic', 'status': 'live', 'context_length': 163840, 'pricing': {'input': 3, 'output': 3}, 'supports_tools': False, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'together', 'status': 'live', 'context_length': 163840, 'pricing': {'input': 3, 'output': 7}, 'supports_tools': False, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'fireworks-ai', 'status': 'live', 'context_length': 163840, 'pricing': {'input': 3, 'output': 8}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}]",['text'],['text']
Qwen/Qwen3-30B-A3B,model,1745725385,Qwen,"[{'provider': 'novita', 'status': 'live', 'context_length': 40960, 'pricing': {'input': 0.09, 'output': 0.45}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}]",['text'],['text']
Qwen/Qwen3-VL-30B-A3B-Instruct,model,1759229521,Qwen,"[{'provider': 'novita', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.2, 'output': 0.7}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}]","['text', 'image']",['text']
zai-org/GLM-4.6V,model,1765092045,zai-org,"[{'provider': 'novita', 'status': 'live', 'is_model_author': False}, {'provider': 'zai-org', 'status': 'live', 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': True}]","['text', 'image']",['text']
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,model,1737364574,deepseek-ai,"[{'provider': 'nscale', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.15, 'output': 0.15}, 'supports_tools': False, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'featherless-ai', 'status': 'live', 'is_model_author': False}]",['text'],['text']
openai/gpt-oss-safeguard-20b,model,1758221468,openai,"[{'provider': 'groq', 'status': 'live', 'context_length': 131072, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}]",['text'],['text']
deepseek-ai/DeepSeek-V3,model,1735131143,deepseek-ai,"[{'provider': 'novita', 'status': 'live', 'context_length': 64000, 'pricing': {'input': 0.4, 'output': 1.3}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'together', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 1.25, 'output': 1.25}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}]",['text'],['text']
ServiceNow-AI/Apriel-1.6-15b-Thinker,model,1764372752,ServiceNow-AI,"[{'provider': 'together', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0, 'output': 0}, 'supports_tools': False, 'supports_structured_output': False, 'is_model_author': False}]","['text', 'image']",['text']
zai-org/GLM-4.7-FP8,model,1766410902,zai-org,"[{'provider': 'zai-org', 'status': 'live', 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': True}]",['text'],['text']
moonshotai/Kimi-K2-Instruct-0905,model,1756870476,moonshotai,"[{'provider': 'groq', 'status': 'live', 'context_length': 262144, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'novita', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 0.6, 'output': 2.5}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'together', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 1, 'output': 3}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}]",['text'],['text']
Qwen/QwQ-32B,model,1741184219,Qwen,"[{'provider': 'nscale', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.18, 'output': 0.2}, 'supports_tools': False, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'featherless-ai', 'status': 'live', 'is_model_author': False}]",['text'],['text']
allenai/Olmo-3.1-32B-Instruct,model,1765404009,allenai,"[{'provider': 'publicai', 'status': 'live', 'pricing': {'input': 0.2, 'output': 0.6}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}]",['text'],['text']
deepseek-ai/DeepSeek-V3.2-Exp,model,1759126046,deepseek-ai,"[{'provider': 'novita', 'status': 'live', 'context_length': 163840, 'pricing': {'input': 0.27, 'output': 0.41}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}]",['text'],['text']
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,model,1737364413,deepseek-ai,"[{'provider': 'novita', 'status': 'live', 'context_length': 8192, 'pricing': {'input': 0.8, 'output': 0.8}, 'supports_tools': False, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'sambanova', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.7, 'output': 1.4}, 'supports_tools': False, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'nscale', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.75, 'output': 0.75}, 'supports_tools': False, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'scaleway', 'status': 'live', 'supports_tools': False, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'ovhcloud', 'status': 'live', 'is_model_author': False}]",['text'],['text']
Qwen/Qwen3-235B-A22B-Thinking-2507,model,1753419545,Qwen,"[{'provider': 'novita', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.3, 'output': 3}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'cerebras', 'status': 'live', 'is_model_author': False}, {'provider': 'fireworks-ai', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 0.22, 'output': 0.88}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}]",['text'],['text']
Qwen/Qwen3-VL-32B-Instruct,model,1760877041,Qwen,"[{'provider': 'together', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 0.5, 'output': 1.5}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}]","['text', 'image']",['text']
swiss-ai/Apertus-8B-Instruct-2509,model,1755077423,swiss-ai,"[{'provider': 'publicai', 'status': 'live', 'pricing': {'input': 0.1, 'output': 0.2}, 'supports_tools': False, 'supports_structured_output': True, 'is_model_author': False}]",['text'],['text']
Sao10K/L3-8B-Stheno-v3.2,model,1717583457,Sao10K,"[{'provider': 'novita', 'status': 'live', 'context_length': 8192, 'pricing': {'input': 0.05, 'output': 0.05}, 'supports_tools': False, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'featherless-ai', 'status': 'live', 'is_model_author': False}]",['text'],['text']
zai-org/GLM-4.6,model,1759170171,zai-org,"[{'provider': 'novita', 'status': 'live', 'context_length': 204800, 'pricing': {'input': 0.55, 'output': 2.2}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'cerebras', 'status': 'live', 'is_model_author': False}, {'provider': 'zai-org', 'status': 'live', 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': True}]",['text'],['text']
